"Phase","Step","Action","Expected Result","If NG"
"Before cutover","1","Astro正本ブランチを最新化する","切替対象のコードが確定する","更新内容を確認して切替日時を見直す"
"Before cutover","2","astro-siteでnpm run checkを実行する","型・構成チェックが成功する","切替を止めて修正する"
"Before cutover","3","astro-siteでnpm testを実行する","回帰テストが成功する","切替を止めて修正する"
"Before cutover","4","本番envでnpm run buildを実行する","distが本番用に生成される","切替を止めてenvまたはコードを修正する"
"Before cutover","5","previewで主要ページを確認する","表示崩れがない","切替を止めて修正する"
"Before cutover","6","previewのcontactで実送信確認を行う","reCAPTCHA通過とApps Script着信が確認できる","切替を止めて設定を修正する"
"Before cutover","7","previewのsns-marketing一覧と詳細1件を確認する","microCMS接続が正常と判断できる","切替を止めて設定またはデータを修正する"
"Before cutover","8","現行public_htmlのバックアップ先名を決める","退避先が明確になる","バックアップ手順を先に確定する"
"Before cutover","9","切替確認に使うWi-Fi回線とグローバルIP確認方法を決める","メンテ中の除外条件が明確になる","IP除外方式を見直す"
"Cutover day","10","PCとスマホを同じWi-Fiに接続し、グローバルIPを確認する","確認用端末が同じ除外対象で見られる","回線を揃えてから再確認する"
"Cutover day","11","maintenance.htmlを使う503メンテ用.htaccessルールを有効化する","一般ユーザーには503メンテが表示され、自分の回線だけ通常表示できる","IP除外またはRewrite条件を見直す"
"Cutover day","12","Xserver上の現行public_htmlを日時付きで丸ごと退避する","ロールバック元が残る","退避完了まで本番投入しない"
"Cutover day","13","現行public_htmlの中身を整理し、新旧ファイルが混在しない状態にする","投入先が空または新規ディレクトリになる","部分上書きをしない"
"Cutover day","14","astro-site/distの中身だけをpublic_htmlへ配置する","本番ルートにAstro成果物が揃う","distフォルダごと置いていないか確認する"
"Cutover day","15","公開後に使う301ルールを配置する","旧.html URLが新しい導線へ寄る","転送先とルールを見直す"
"After cutover","16","本番トップページを確認する","/ が200で正常表示される","ロールバック判断に入る"
"After cutover","17","about-us, contact, news, sns-marketing, privacy, livaponを確認する","主要導線が200で正常表示される","ロールバック判断に入る"
"After cutover","18","sns-marketing詳細1件を確認する","microCMS記事詳細が正常表示される","microCMS接続を確認して必要ならロールバックする"
"After cutover","19","_astro配下のCSS/JS読み込みを確認する","アセットが200で返る","配置漏れを修正するかロールバックする"
"After cutover","20","本番contactで実送信確認を行う","フォーム送信成功とApps Script着信が確認できる","即ロールバック候補"
"After cutover","21","robots.txtとsitemap.xmlを確認する","SEO系の主要ファイルが取得できる","配置漏れを修正する"
"After cutover","22","index.html, about-us.html, contact.html, news.html, news-detail.htmlの301を確認する","旧URLが意図どおり転送される","301ルールを修正する"
"After cutover","23","問題がなければ503メンテ用ルールを外して公開する","一般ユーザーへ新サイトを公開できる","503を維持したまま原因を確認する"
"Rollback","24","問題が重大なら503は維持したまま新public_htmlを退避または削除する","旧サイト復元準備ができる","ファイル単位では戻さない"
"Rollback","25","バックアップしたpublic_htmlと旧.htaccessを元に戻す","旧サイトが復旧する","退避ディレクトリ名を再確認する"
"Rollback","26","旧サイトのトップ、問い合わせ、news導線を確認する","復旧完了を確認できる","切替作業を中断して原因調査へ戻る"
"Next phase","27","NEWSのmicroCMS移行を別タスクとして起票する","今回の切替と将来運用の境界が明確になる","切替作業とは分離して再計画する"
