"Category","Check Item","Pass Condition","Status","Notes"
"Build","npm run checkが成功している","終了コード0","未確認",""
"Build","npm testが成功している","終了コード0","未確認",""
"Build","本番envでnpm run buildが成功している","distが更新されている","未確認",""
"Preview","/preview/ が正常表示","主要ビジュアルと導線が崩れていない","未確認",""
"Preview","/preview/about-us/ が正常表示","画像・文言・リンクが問題ない","未確認",""
"Preview","/preview/contact/ が正常表示","フォームUIとreCAPTCHAが出る","未確認",""
"Preview","/preview/news/ が正常表示","新着情報一覧が機能する","未確認",""
"Preview","/preview/sns-marketing/ が正常表示","一覧と記事導線が機能する","未確認",""
"Preview","/preview/sns-marketing/<slug>/ が正常表示","microCMS記事詳細が表示される","未確認",""
"Preview","/preview/privacy/ が正常表示","本文が欠けずに表示される","未確認",""
"Preview","/preview/livapon/ が正常表示","主要導線が機能する","未確認",""
"Form","previewで実送信できる","送信成功画面または成功メッセージが出る","未確認",""
"Form","previewでreCAPTCHAが通る","エラーなく検証完了する","未確認",""
"Form","Apps Script側に着信する","メールまたはスプレッドシート保存を確認できる","未確認",""
"Maintenance","60分メンテ運用で進める前提が共有されている","切替中の確認時間が確保されている","未確認",""
"Maintenance","PCとスマホを同じWi-Fiに接続できる","同じグローバルIPで除外確認できる","未確認",""
"Maintenance","503メンテ用ルールを有効化できる","一般ユーザーへmaintenance.htmlを503で返せる","未確認",""
"Maintenance","自分のWi-Fi回線だけメンテ除外できる","本番確認用に通常表示できる","未確認",""
"Maintenance","Retry-Afterを返している","メンテ中の再訪問目安を返せる","未確認",""
"Deploy","現行public_htmlを丸ごとバックアップ済み","日時付きバックアップが存在する","未確認",""
"Deploy","distの中身だけを配置している","public_html/dist にはなっていない","未確認",""
"Deploy",".htaccessの必要設定を維持している","HTTPSや必要ヘッダーが残る","未確認",""
"Production","/ が200で正常表示","トップが本番で見える","未確認",""
"Production","/about-us/ が200で正常表示","主要下層が見える","未確認",""
"Production","/contact/ が200で正常表示","フォームが表示される","未確認",""
"Production","/news/ が200で正常表示","ニュース一覧が表示される","未確認",""
"Production","/sns-marketing/ が200で正常表示","ノウハウ一覧が表示される","未確認",""
"Production","/sns-marketing/<slug>/ が200で正常表示","ノウハウ詳細が表示される","未確認",""
"Production","/privacy/ が200で正常表示","プライバシー本文が読める","未確認",""
"Production","/livapon/ が200で正常表示","導線が機能する","未確認",""
"Production","_astro配下のCSS/JSが200","コンソールエラーや404がない","未確認",""
"Production","画像表示に欠けがない","主要画像が読める","未確認",""
"Production","本番contactで実送信できる","送信成功と着信が確認できる","未確認",""
"Production","reCAPTCHAが本番で通る","送信時に検証エラーが出ない","未確認",""
"Production","microCMS一覧が本番で表示される","sns-marketing一覧が空でない","未確認",""
"Production","microCMS詳細1件が本番で表示される","本文や画像が欠けずに読める","未確認",""
"Production","robots.txt が取得できる","200で内容が返る","未確認",""
"Production","sitemap.xml が取得できる","200で内容が返る","未確認",""
"Redirect","/index.html が / へ301される","恒久転送が返る","未確認",""
"Redirect","/about-us.html が /about-us/ へ301される","恒久転送が返る","未確認",""
"Redirect","/contact.html が /contact/ へ301される","恒久転送が返る","未確認",""
"Redirect","/privacy.html が /privacy/ へ301される","恒久転送が返る","未確認",""
"Redirect","/livapon.html が /livapon/ へ301される","恒久転送が返る","未確認",""
"Redirect","/news.html が /sns-marketing/ へ301される","旧CMS一覧が新導線へ寄る","未確認",""
"Redirect","/news-detail.html が /sns-marketing/ へ301される","旧CMS詳細が最低限の受け皿へ寄る","未確認",""
"Rollback","ロールバック手順を実行できる","旧public_htmlへ戻せる","未確認",""
"Next phase","NEWSのmicroCMS移行は別フェーズと認識できている","今回の切替スコープから外れている","未確認",""
